Branch	Duplications	Transfers	Losses	Originations	CopyNum
GCA_002304445_1_ASM230444v1_genomic	32.21000000000005	787.3899999999869	748.369999999975	27.260000000000137	2319.0
GCA_003558065_1_ASM355806v1_genomic	76.66000000000005	314.0799999999932	344.589999999989	15.629999999999907	2259.0
GCA_007130045_1_ASM713004v1_genomic	65.25999999999999	266.0899999999973	405.4999999999871	17.03000000000002	2126.0
GCA_007132315_1_ASM713231v1_genomic	59.43	313.3799999999921	548.4899999999809	14.559999999999901	2022.0
GCA_013215165_1_ASM1321516v1_genomic	81.48000000000005	512.9999999999895	678.1899999999779	30.05000000000012	1839.0
GCA_014529675_2_ASM1452967v2_genomic	89.46000000000004	891.0199999999894	483.0199999999838	40.5600000000001	2472.0
GCA_014879845_1_ASM1487984v1_genomic	92.21000000000011	1043.7199999999873	436.2299999999852	36.12000000000005	2887.0
GCA_016217545_1_ASM1621754v1_genomic	63.57999999999998	548.1299999999883	376.64999999998764	22.510000000000073	2891.0
GCA_016871775_1_JGI_2017-08-21_genomic	157.98000000000005	568.6599999999883	1033.0499999999781	28.280000000000168	2265.0
GCA_018239675_1_ASM1823967v1_genomic	70.92	568.7099999999888	730.0599999999753	23.969999999999988	2414.0
GCA_018667915_1_ASM1866791v1_genomic	83.75000000000013	1260.9699999999912	807.0499999999704	51.75000000000001	2630.0
GCA_018700525_1_ASM1870052v1_genomic	161.2300000000002	484.21999999999053	452.32999999998793	28.380000000000166	2636.0
GCA_902728235_1_LCC4_PacBio_genomic	94.39000000000006	464.86999999998983	381.70999999998355	20.009999999999966	2328.0
GCA_903862595_1_freshwater_MAG_Loclat_bin_15473_genomic	174.18999999999986	653.4399999999869	757.2199999999738	21.22000000000002	2369.0
GCA_903890485_1_freshwater_MAG_VK1_bin_0186_genomic	82.67000000000012	621.5599999999878	832.8299999999782	23.090000000000032	2115.0
GCF_000019965_1_ASM1996v1_genomic	75.09000000000003	874.709999999985	819.0499999999764	35.800000000000026	2984.0
GCF_000025905_1_ASM2590v1_genomic	39.56000000000002	284.7499999999961	399.47999999998746	16.04999999999993	2067.0
GCF_000171235_2_ASM17123v2_genomic	134.1900000000001	586.10999999999	682.8499999999794	30.540000000000116	2373.0
GCF_001580015_1_ASM158001v1_genomic	20.860000000000007	103.94000000000236	134.31000000000316	5.839999999999956	1321.0
GCF_001580045_1_ASM158004v1_genomic	11.61	73.76000000000066	167.0399999999997	3.9999999999999734	1247.0
GCF_001746835_1_ASM174683v1_genomic	16.59999999999999	249.59999999999746	401.78999999998945	13.129999999999935	2643.0
GCF_002310495_1_ASM231049v1_genomic	49.05000000000007	819.2899999999851	714.6199999999764	31.520000000000103	2662.0
GCF_003054705_1_ASM305470v1_genomic	65.81999999999998	673.7699999999876	696.5999999999788	32.560000000000166	2893.0
GCF_003096195_1_ASM309619v1_genomic	98.24000000000001	652.7899999999876	937.0099999999774	26.40000000000009	1881.0
GCF_003185655_1_ASM318565v1_genomic	28.17999999999999	313.03999999999473	396.98999999998733	15.639999999999906	1963.0
GCF_004118375_1_ASM411837v1_genomic	24.71000000000003	374.6099999999936	297.59999999999565	17.819999999999947	2885.0
GCF_007559335_1_ASM755933v1_genomic	51.42999999999999	548.0599999999893	755.4199999999794	25.17000000000007	2346.0
GCF_014230085_1_ASM1423008v1_genomic	79.78000000000004	352.80999999999386	439.39999999998446	24.670000000000066	2071.0
GCF_014230145_1_ASM1423014v1_genomic	56.47999999999996	316.9599999999937	716.6499999999812	16.399999999999917	2647.0
GCF_014651635_1_ASM1465163v1_genomic	51.619999999999976	357.7499999999933	401.3899999999868	21.880000000000038	2083.0
GCF_014803405_1_ASM1480340v1_genomic	59.36999999999998	415.5399999999921	370.1899999999891	21.47	3100.0
GCF_016595505_1_ASM1659550v1_genomic	125.80000000000011	512.6599999999903	356.97999999999104	29.490000000000162	3292.0
GCF_900104925_1_IMG-taxon_2690315651_genomic	38.97000000000003	395.3499999999929	687.2499999999814	17.849999999999937	2486.0
MM_AF_BM_Day8_Bin_4	114.2600000000001	398.7599999999922	443.0399999999878	30.430000000000067	2618.0
MM_AF_Super_Day4_Bin_8	11.729999999999993	63.919999999999675	114.99000000000332	4.909999999999957	2252.0
MM_AF_Super_Day6_Bin_11	4.539999999999999	51.66999999999993	94.8800000000028	4.199999999999968	2674.0
MM_AF_coassembly_bin_52	36.33000000000001	108.64000000000264	197.87999999999738	7.209999999999946	2369.0
MM_GCA_007692545_1_ASM769254v1_sodalakeV2_genomic	90.6900000000001	551.1999999999879	544.3599999999813	29.34000000000018	2130.0
MM_GCA_007695295_1_ASM769529v1_sodalakeV1_genomic	72.02000000000005	858.6099999999876	403.6699999999886	39.55000000000008	2489.0
MM_PBR_bin07A_genomic	6.1399999999999935	61.729999999999734	178.3699999999994	4.799999999999963	2309.0
MM_PBR_bin56_genomic	7.369999999999995	72.35000000000049	302.4099999999938	5.459999999999956	2097.0
MM_VK_Bin_42	72.65000000000003	336.2699999999932	303.5299999999921	22.33000000000005	2385.0
MM_VK_Bin_48	17.579999999999995	76.36000000000075	131.06000000000338	4.889999999999963	2282.0
MM_VK_Bin_64	9.379999999999995	49.269999999999634	120.74000000000335	3.659999999999974	2228.0
MM_VK_Bin_81	45.750000000000014	684.4999999999881	637.8799999999766	32.97000000000008	2018.0
MM_VK_Bin_83	5.289999999999997	48.98999999999991	143.04000000000246	4.289999999999972	2624.0
opitutales_genome3	177.0600000000001	670.05999999999	281.92999999999574	38.550000000000026	2667.0
47	13.659999999999947	388.089999999991	500.4699999999848	38.62000000000012	2220.5100000000257
48	28.750000000000014	207.17999999999822	282.23999999999495	32.21000000000027	2183.120000000001
49	10.92999999999996	330.7399999999927	529.6499999999811	41.29000000000005	1892.6599999999728
50	18.359999999999957	417.91999999999086	743.4799999999765	42.770000000000046	2040.5799999999927
51	30.640000000000057	638.6399999999903	482.1899999999857	87.23000000000054	2817.4500000000494
52	24.400000000000052	343.9699999999938	476.6799999999884	55.76000000000016	2305.0100000000325
53	16.009999999999973	289.6099999999911	957.2399999999747	14.579999999999878	1324.6699999999719
54	32.860000000000014	405.52999999999236	446.8699999999884	52.85999999999995	2765.4600000000614
55	16.559999999999967	447.4499999999906	398.149999999988	53.34000000000001	2476.7600000000493
56	17.029999999999966	255.7699999999966	423.81999999998845	28.030000000000157	2003.1299999999803
57	30.610000000000028	320.4899999999931	414.0299999999869	41.39000000000006	2053.139999999981
58	31.26000000000007	314.5399999999941	396.83999999999133	43.82000000000011	2973.810000000056
59	95.99000000000031	544.8599999999884	304.12999999999465	229.81000000000023	2981.030000000062
60	22.690000000000012	362.1099999999908	377.72999999998893	80.5800000000003	2721.080000000054
61	46.670000000000016	396.1499999999907	454.18999999998647	49.48999999999997	2286.4300000000167
62	46.559999999999974	416.7299999999911	347.909999999991	75.50000000000014	2708.470000000048
63	45.210000000000015	133.2900000000025	191.06999999999928	28.77000000000017	2414.7000000000035
64	24.040000000000003	152.4800000000008	282.1699999999953	21.380000000000052	2314.229999999993
65	62.940000000000005	286.0899999999939	399.17999999998705	139.0100000000003	2197.2200000000025
66	21.230000000000018	439.3899999999896	476.6299999999852	78.6800000000007	2543.1300000000556
67	30.310000000000127	404.9299999999886	472.6599999999863	117.6100000000017	2357.560000000044
68	14.439999999999962	210.4799999999981	268.4899999999973	39.25000000000019	2126.119999999982
69	66.9100000000001	764.4199999999814	295.04999999999364	268.46999999999946	2414.5000000000323
70	49.160000000000004	713.0599999999822	433.39999999998554	162.13000000000096	2633.4300000000576
71	35.530000000000065	429.7199999999903	342.9299999999897	146.96000000000066	2517.5900000000433
72	21.569999999999997	199.3999999999984	299.9999999999938	220.24999999999926	2398.5000000000055
73	23.510000000000076	383.4399999999905	303.2099999999927	96.11000000000094	2480.4600000000555
74	32.3900000000001	380.9199999999884	344.069999999991	91.35000000000133	2277.3700000000417
75	38.30000000000003	307.22999999999337	501.13999999998435	246.6999999999993	2130.4399999999932
76	14.409999999999942	469.99999999998766	411.9899999999864	153.3600000000007	2248.310000000018
